# Column 2: Bandwidth sent by aggregator (bytes)
# Column 3: Bandwidth received by aggregator (bytes)

1 1449134205014600 85000000000000 #CMS
2 1449134205014600 85000000000000 #SV
3 14491342050146000 850000000000000 #Perc
4 1449134205014600 85000000000000 # ID3
5 7249134205014600 425000000000000 # kmeans
6 1449134205014600 85000000000000 # PCA
7 28991342050146000 1700000000000000 #NN
8 7249134205014600 425000000000000 # kmedian
9 1449134205014600 85000000000000 # bloom
10 2899134205014600 170000000000000 # NB
11 1449134205014600 85000000000000 # LogReg
12 1449134205014600 85000000000000 # Hist
13 1449134205014600 85000000000000 # CDF
14 1449134205014600 85000000000000 # Range
